"id","Дата рождения","активность","пол","фамилия","имя","Последняя авторизация","должность","цфо","Дата регистрации","Дата изменения","подразделения","E-Mail","логин","компания","Город проживания"
3098,"",Да,"","","","04.12.2023 14:24:21",Старший аналитик,DAR,"","",. . . . . . Бизнес-аналитика. Общая практика,"","","",""
3105,"",Да,"","","","29.12.2023 08:22:50",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3116,"",Да,"","","","09.01.2024 10:39:55",Аналитик,DAR,"","",. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,"","","",""
3121,"",Да,"","","","11.01.2024 12:11:53",Финансовый специалист,DAR,"","",. . . Административно-финансовая служба,"","","",""
3132,"",Нет,"","","","15.12.2020 16:01:49",Менеджер по развитию бизнеса,DAR,"","",. . . . Направление BI,"","","",""
3136,"",Нет,"","","","22.11.2019 17:29:02",Консультант,"","","",. . Департамент аналитических решений,"","","",""
3137,"",Нет,"","","","10.12.2019 10:33:16",Младший аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3138,"",Нет,"","","","20.05.2021 08:48:44",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3142,"",Нет,"","","","09.02.2021 16:50:20",Руководитель проектов,DAR,"","",. . . . KeepRise,"","","",""
3151,"",Нет,"","","","06.07.2020 11:38:00",Системный аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3152,"",Нет,"","","","02.09.2020 13:47:03",Старший аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3154,"",Нет,"","","","23.09.2020 14:08:24",Младший тестировщик,DAR,"","",. . . . . Тестирование DWH / QA: Центр компетенций,"","","",""
3170,"",Нет,"","","","22.01.2021 09:34:55",Тестировщик,DAR,"","",. . . . . Тестирование DWH / QA: Центр компетенций,"","","",""
3181,"",Нет,"","","","05.08.2022 13:56:58",Младший консультант,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3187,"",Да,"","","","09.01.2024 16:56:54",Руководитель проектов,DAR,"","",. . . . Центр компетенций по управлению проектами РЖД / PM,"","","",""
3188,"",Да,"","","","10.02.2022 13:02:32",Младший аналитик,DAR,"","",. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,"","","",""
3190,"",Нет,"","","","11.08.2021 12:35:54",Аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3194,"",Нет,"","","","17.05.2021 09:16:54",Специалист по машинному обучению,DAR,"","",. . . . Направление DWH&ML,"","","",""
3200,"",Нет,"","","","28.12.2021 16:17:04",Руководитель центра компетенций,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3205,"",Нет,"","","","12.05.2022 15:01:45",Тестировщик,DAR,"","",. . . . . Тестирование DWH / QA: Центр компетенций,"","","",""
3219,"",Да,"","","","29.12.2023 10:06:16",Руководитель проектов,DAR,"","",. . . . Центр компетенций по управлению проектами РЖД / PM,"","","",""
3239,"",Нет,"","","","01.02.2021 12:09:30",Дизайнер,DAR,"","",. . Департамент аналитических решений,"","","",""
3242,"",Нет,"","","","03.02.2021 17:18:00",Аналитик,DAR,"","",. . Департамент аналитических решений,"","","",""
3246,"",Нет,"","","","17.02.2021 17:56:39",Руководитель проектов,DAR,"","",. . Департамент аналитических решений,"","","",""
3259,"",Нет,"","","","09.08.2021 14:18:55",Руководитель проектов,DAR,"","",. . . . Направление DWH&ML,"","","",""
3273,"",Нет,"","","","29.05.2023 12:13:29",Старший бизнес-аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3276,"",Нет,"","","","10.09.2020 15:43:22",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3281,"",Нет,"","","","18.02.2022 12:51:42",Разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3282,"",Да,"","","","06.09.2023 10:19:38",Разработчик,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
3284,"",Да,"","","","10.01.2024 15:14:42",Инженер данных,DAR,"","",. . . . . . Data Platform группа #1,"","","",""
3292,"",Нет,"","","","06.09.2021 11:39:20",Младший разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3307,"",Да,"","","","09.01.2024 11:43:30",Операционный директор,DAR,"","",. . . Consulting & Delivery,"","","",""
3308,"",Нет,"","","","14.10.2020 10:01:43",Младший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3310,"",Да,"","","","10.01.2024 10:06:03",Архитектор решений,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
3315,"",Нет,"","","","25.04.2022 15:41:12",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3352,"",Да,"","","","09.01.2024 19:37:42",Разработчик,DAR,"","",. . . . . . . Microsoft BI,"","","",""
3377,"",Нет,"","","","24.11.2022 18:43:03",Консультант,DAR,"","",. . . . KeepRise,"","","",""
3378,"",Нет,"","","","26.02.2021 12:49:02",Менеджер по развитию бизнеса,DAR,"","",. . . . Направление BI,"","","",""
3396,"",Да,"","","","10.01.2024 16:47:50",Разработчик,DAR,"","",. . . . . . Data Platform группа #3,"","","",""
3416,"",Нет,"","","","14.09.2022 11:17:47",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3417,"",Да,"","","","03.01.2024 20:42:24",Руководитель проектного офиса,DAR,"","",. . . . . Группа управления проектами,"","","",""
3420,"",Да,"","","","21.12.2023 09:18:10",Технический лидер,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3426,"",Нет,"","","","13.12.2021 16:59:17",Руководитель проектов,DAR,"","",. . . . Направление BI,"","","",""
3427,"",Да,"","","","27.12.2023 19:26:43",Руководитель центра компетенций,DAR,"","",. . . . Направление DG&DQ,"","","",""
3428,"",Да,"","","","03.11.2023 17:43:46",Разработчик,DAR,"","",. . . . . . . Microsoft BI,"","","",""
3433,"",Нет,"","","","29.07.2021 08:47:02",Аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3442,"",Нет,"","","","17.02.2022 10:41:03",Ведущий аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
3443,"",Да,"","","","11.01.2024 15:26:21",Тестировщик,DAR,"","",. . . . . Тестирование DWH / QA: Центр компетенций,"","","",""
3445,"",Да,"","","","03.11.2023 13:43:22",Аналитик,DAR,"","",. . . . KeepRise,"","","",""
3451,"",Нет,"","","","20.08.2021 15:54:31",Младший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3457,"",Да,"","","","15.12.2023 18:44:02",Разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3460,"",Да,"","","","11.01.2024 12:41:20",Менеджер проектов,DAR,"","",. . . . . Группа Центров Компетенций 2,"","","",""
3474,"",Нет,"","","","11.05.2022 09:47:12",Старший разработчик,DAR,"","",. . . . Направление DWH&ML,"","","",""
3476,"",Нет,"","","","06.09.2021 14:21:55",Разработчик,DAR,"","",. . . . Направление DWH&ML,"","","",""
3478,"",Нет,"","","","06.07.2021 11:32:26",Бизнес-аналитик,DAR,"","",. . Департамент аналитических решений,"","","",""
3496,"",Да,"","","","23.11.2023 17:06:18",Разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3498,"",Нет,"","","","",Разработчик,"","","",. . . . . . Microsoft: Центр компетенций,"","","",""
3516,"",Нет,"","","","27.12.2023 12:36:14",Бизнес-аналитик,DAR,"","",. . . . . . Бизнес-аналитика. Общая практика,"","","",""
3540,"",Да,"","","","11.01.2024 12:50:16",Младший аналитик,DAR,"","",. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,"","","",""
3542,"",Да,"","","","10.01.2024 19:20:17",Младший консультант,DAR,"","",. . . . Группа технической поддержки РЖД / Support,"","","",""
3554,"",Да,"","","","27.12.2023 18:02:11",Руководитель центра компетенций,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3560,"",Да,"","","","12.01.2024 10:17:21",Разработчик-эксперт,DAR,"","",. . . . . . Data Platform группа #4,"","","",""
3565,"",Да,"","","","19.12.2023 16:09:38",Младший консультант,DAR,"","",. . . . . Тестирование DWH / QA: Центр компетенций,"","","",""
3569,"",Нет,"","","","20.05.2021 12:42:31",Системный аналитик,DAR,"","",. . . . Направление BI,"","","",""
3572,"",Да,"","","","21.12.2023 09:11:11",старший системный аналитик,DAR,"","",. . . . . Системная Аналитика: Центр компетенций,"","","",""
3573,"",Нет,"","","","02.02.2023 16:17:51",Старший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3577,"",Да,"","","","10.01.2024 15:28:16",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
3581,"",Да,"","","","26.12.2023 10:19:03",Ведущий системный аналитик,DAR,"","",. . . . . . Бизнес-аналитика по работе с гос.компаниями: Центр компетенций,"","","",""
3595,"",Нет,"","","","16.08.2021 12:46:03",Менеджер по персоналу,DAR,"","",. . Департамент аналитических решений,"","","",""
